NOMBRE,CALLE,COLONIA,ALCALDÍA,CP,CATEGORÍA,LATITUD,LONGITUD
Hotel Maga,Juan A. Mateos 159,Obrera,Cuauhtémoc,6800,2 Estrellas,19.410156,-99.135782
Hotel Managua,Plaza de San Fernando 11,Guerrero,Cuauhtémoc,6300,2 Estrellas,19.438601,-99.148178
Hotel Martí,Arquitectos 63 esquina con José Martí,Escandón I sección,Miguel Hidalgo,11800,2 Estrellas,19.400746,-99.172369
Hotel Mazatlán,Callejón de La Igualdad 29,Centro (Área 8),Cuauhtémoc,6080,2 Estrellas,19.425391,-99.140586
Hotel Miramar,Calzada de Tlalpan 1550,Miravalle,Benito Juárez,3580,2 Estrellas,19.361188,-99.142643
Hotel Moctezuma,Moctezuma 21,Aragón la Villa,Gustavo A. Madero,7000,2 Estrellas,19.480355,-99.117289
Hotel Montecarlo,República de Uruguay 69,Centro (Área 1),Cuauhtémoc,6000,2 Estrellas,19.430372,-99.136094
Hotel Montemar,Valentín Gómez Farías 53,San Rafael,Cuauhtémoc,6470,2 Estrellas,19.437599,-99.158576
Hotel Morelos,General Francisco Arce 14,Juan Escutia,Iztapalapa,9100,2 Estrellas,19.387154,-99.038268
Hotel Muy,Antonio Caso 144,San Rafael,Cuauhtémoc,6470,2 Estrellas,19.435211,-99.164757
Hotel Navío,Adolfo Gurrión 37,Merced Balbuena,Venustiano Carranza,15810,2 Estrellas,19.424225,-99.125617
Hotel Nayarit,Platino 25,Maza,Cuauhtémoc,6270,2 Estrellas,19.457264,-99.12684
Hotel Niza,Mesones 61,Centro (Área 8),Cuauhtémoc,6080,2 Estrellas,19.428489,-99.13648
Hotel Oxford,Ignacio Mariscal 67,Tabacalera,Cuauhtémoc,6030,2 Estrellas,19.437508,-99.151941
Hotel Pánuco,Ayuntamiento 148,Centro (Área 4),Cuauhtémoc,6040,2 Estrellas,19.431328,-99.149846
Hotel Patria,República de El Salvador 137,Centro (Área 9),Cuauhtémoc,6090,2 Estrellas,19.428826,-99.131346
Hotel Pennsylvania,Ignacio Mariscal 101,Tabacalera,Cuauhtémoc,6030,2 Estrellas,19.43804,-99.153466
Hotel Platino,Platino 298,Felipe Ángeles,Venustiano Carranza,15310,2 Estrellas,19.453682,-99.11441
Hotel Plaza Las Torres,Zaragoza 47,Año de Juárez,Iztapalapa,9780,2 Estrellas,19.317997,-99.073144
Hotel Polimpo,Petróleos Mexicanos 90,Petrolera,Azcapotzalco,2480,2 Estrellas,19.484261,-99.195437
Hotel Polo,Doctor García Diego 67,Doctores,Cuauhtémoc,6720,2 Estrellas,19.416694,-99.146856
Hotel Portales,Suiza 46,Portales Oriente,Benito Juárez,3570,2 Estrellas,19.368514,-99.141364
Hotel Prado Floresta,Doctor Valenzuela 51,Doctores,Cuauhtémoc,6720,2 Estrellas,19.42347,-99.14391
Hotel Princess,República de Cuba 55,Centro (Área 2),Cuauhtémoc,6010,2 Estrellas,19.436992,-99.136731
Hotel Principal,Bolívar 29,Centro (Área 1),Cuauhtémoc,6000,2 Estrellas,19.432926,-99.138601
Hotel Quinta Las Delicias,Antonio Van Dick 24,Mixcoac,Benito Juárez,3910,2 Estrellas,19.378176,-99.188571
Hotel Río,Manuel Dublan 31,Tacubaya,Miguel Hidalgo,11870,2 Estrellas,19.401243,-99.189936
Hotel Rioja,5 de Mayo 45,Centro (Área 1),Cuauhtémoc,6000,2 Estrellas,19.434086,-99.135828
Hotel San Juan,Doctor Jesús Valenzuela 40,Doctores,Cuauhtémoc,6720,2 Estrellas,19.424427,-99.143351
Hotel San Lázaro,Avenida Congreso de la Unión 480,Jamaica,Venustiano Carranza,15800,2 Estrellas,19.406285,-99.121427
Hotel Sol,Avenida Cuitláhuac 23,Prohogar,Azcapotzalco,2600,2 Estrellas,19.473452,-99.147096
Hotel Tacuba,Golfo de Gabes 72,Tacuba,Miguel Hidalgo,11410,2 Estrellas,19.455577,-99.185725
Hotel Turismo,Delibes 4439,Guadalupe Victoria,Gustavo A. Madero,7790,2 Estrellas,19.471665,-99.140066
Hotel Único,Escuela Médico Militar 20,Centro (Área 9),Cuauhtémoc,6090,2 Estrellas,19.424402,-99.130615
Hotel Vista Alegre 1,Prolongación Zaragoza 33,San Simón Tolnahuac,Cuauhtémoc,6920,2 Estrellas,19.458603,-99.145741
Hotel Washington,5 de Mayo 54,Centro (Área 1),Cuauhtémoc,6000,2 Estrellas,19.434274,-99.135287
Hotel Zaragoza,Zaragoza 256,Guerrero,Cuauhtémoc,6300,2 Estrellas,19.450355,-99.148225
